tokenId,plotId,color,level,grade,grade type,grade value,age,owner
70078,144,2,1,34145706,2,591274,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70079,144,1,1,34205232,2,650800,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70080,145,10,1,67571609,4,462745,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70081,145,2,2,50880248,3,548600,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70082,145,1,1,33820788,2,266356,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70083,146,2,2,67364945,4,256081,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70084,146,10,1,17138807,1,361591,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70085,146,9,1,16968322,1,191106,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70086,147,2,1,67782696,4,673832,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70087,147,9,2,17583443,1,806227,0,0x445ba6F9f553872Fa9cDC14F5c0639365b39C140
70088,147,2,1,17325143,1,547927,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70089,148,2,2,34352095,2,797663,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70090,148,1,1,67598886,4,490022,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70091,148,1,1,33689378,2,134946,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70092,149,9,1,17400392,1,623176,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70093,149,10,2,34166867,2,612435,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70094,149,2,1,67197796,4,88932,534060,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70095,150,1,1,34117370,2,562938,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70096,150,1,2,67695953,4,587089,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70097,150,1,1,33945295,2,390863,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70098,151,1,2,33564539,2,10107,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70099,151,9,4,84454194,5,568114,534051,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
70100,151,2,1,67148036,4,39172,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70101,152,1,2,17087797,1,310581,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70102,152,1,1,67904291,4,795427,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70103,152,9,1,17582558,1,805342,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70104,153,2,2,67398846,4,289982,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70105,153,2,1,33731112,2,176680,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70106,153,2,1,16945167,1,167951,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70107,154,10,2,33818407,2,263975,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70108,154,10,1,34225951,2,671519,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70109,154,9,1,67985341,4,876477,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70110,154,9,1,17703581,1,926365,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70111,155,2,2,67672380,4,563516,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70112,155,2,1,33906847,2,352415,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70113,155,2,1,33629149,2,74717,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70114,156,1,2,67121798,4,12934,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70115,156,9,1,51086942,3,755294,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70116,156,9,1,34162967,2,608535,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70117,157,9,1,67242634,4,133770,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70118,157,2,2,51275075,3,943427,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70119,157,1,1,34414260,2,859828,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70120,158,2,1,17490232,1,713016,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70121,158,10,2,67565969,4,457105,534051,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
70122,158,9,1,33586112,2,31680,0,0x70A9E0D9a01Cd82C61d717dF35210E346e2e5976
